0.0600	3.90E-03	4.00E-04
0.0818	3.10E-03	2.00E-04
0.1280	2.00E-03	1.00E-04
0.1560	1.80E-03	1.00E-04
0.2340	8.92E-04	1.15E-04
0.2610	8.51E-04	7.90E-05
0.2730	7.39E-04	9.09E-05
0.3090	5.66E-04	6.50E-05
0.3120	5.23E-04	6.12E-05
0.3600	4.17E-04	4.67E-05
0.4230	2.52E-04	3.40E-05
0.4670	1.64E-04	3.20E-05
0.4890	1.72E-04	2.56E-05
0.5000	1.25E-04	2.90E-05
0.5680	9.38E-05	1.42E-05
0.6000	8.09E-05	1.47E-05
0.6300	6.46E-05	8.79E-06
0.7050	3.34E-05	5.68E-06
0.7800	2.81E-05	1.67E-05
0.7820	2.35E-05	3.87E-06
0.8500	1.51E-05	3.16E-06
0.9320	7.94E-06	2.02E-06
1.0000	9.48E-06	3.00E-06
1.0160	6.33E-06	2.33E-06
1.0890	3.33E-06	1.23E-06
1.2000	1.12E-06	2.20E-07
1.3000	1.87E-06	9.30E-07
1.4900	3.47E-07	7.00E-08
1.6100	1.40E-07	3.80E-08
1.7400	2.07E-08	1.15E-08
1.9800	7.50E-09	7.10E-09
2.2300	1.25E-08	6.30E-09
2.4800	1.67E-08	6.60E-09
2.5300	2.00E-08	1.05E-08
2.7700	3.60E-09	5.40E-09
