0.0017	9.36E-01	1.50E-03
0.0019	9.28E-01	2.90E-03
0.0039	8.69E-01	1.80E-03
0.0078	7.54E-01	2.00E-03
0.0082	7.45E-01	2.80E-03
0.0097	7.11E-01	4.90E-03
0.0097	7.10E-01	1.50E-03
0.0117	6.67E-01	2.50E-03
0.0117	6.66E-01	1.60E-03
0.0136	6.28E-01	3.50E-03
0.0136	6.22E-01	1.60E-03
0.0140	6.20E-01	2.80E-03
0.0148	6.05E-01	2.80E-03
0.0151	6.09E-01	3.10E-03
0.0155	5.91E-01	1.50E-03
0.0156	5.89E-01	2.30E-03
0.0160	5.82E-01	3.50E-03
0.0165	5.70E-01	3.60E-03
0.0175	5.55E-01	1.40E-03
0.0179	5.48E-01	4.90E-03
0.0179	5.46E-01	9.27E-03
0.0186	5.38E-01	2.80E-03
0.0189	5.27E-01	4.40E-03
0.0192	5.35E-01	3.80E-03
0.0195	5.24E-01	2.50E-03
0.0195	5.25E-01	2.00E-03
0.0197	5.24E-01	3.60E-03
0.0214	4.97E-01	2.20E-03
0.0217	4.94E-01	3.80E-03
0.0221	4.90E-01	5.30E-03
0.0222	4.88E-01	4.10E-03
0.0234	4.70E-01	7.05E-03
0.0234	4.66E-01	2.80E-03
0.0242	4.58E-01	6.00E-03
0.0243	4.51E-01	7.30E-03
0.0248	4.47E-01	6.30E-03
0.0265	4.22E-01	7.20E-03
0.0266	4.30E-01	5.80E-03
0.0272	4.21E-01	5.40E-03
0.0273	4.15E-01	7.47E-03
0.0273	4.20E-01	1.80E-03
0.0285	4.01E-01	5.10E-03
0.0304	3.77E-01	5.80E-03
0.0308	3.80E-01	6.00E-03
0.0315	3.74E-01	6.36E-03
0.0319	3.62E-01	7.40E-03
0.0330	3.42E-01	9.10E-03
0.0339	3.55E-01	6.00E-03
0.0347	3.39E-01	8.70E-03
0.0378	3.11E-01	5.59E-03
0.0389	3.10E-01	1.30E-03
0.0405	2.95E-01	4.43E-03
0.0487	2.39E-01	4.54E-03
0.0603	1.78E-01	3.38E-03
0.0603	1.86E-01	2.79E-03
0.0603	1.91E-01	1.10E-03
0.0717	1.40E-01	2.38E-03
0.0817	1.24E-01	7.00E-04
0.0829	1.13E-01	2.25E-03
0.0830	1.14E-01	1.71E-03
0.0861	1.11E-01	1.66E-03
0.0930	9.15E-02	2.01E-03
0.1024	7.85E-02	2.04E-03
0.1066	7.25E-02	1.23E-03
